,country,target_date,target
0,Fiji,2020-10-30,0.0
1,North Macedonia,2020-10-30,98.0
2,Afghanistan,2020-10-30,28.0
3,Monaco,2020-10-30,0.0
4,Tanzania,2020-10-30,0.0
5,Equatorial Guinea,2020-10-30,0.0
6,Jordan,2020-10-30,273.0
7,Congo (Brazzaville),2020-10-30,0.0
8,Uruguay,2020-10-30,7.0
9,Mozambique,2020-10-30,7.0
10,Serbia,2020-10-30,35.0
11,Colombia,2020-10-30,1386.0
12,Montenegro,2020-10-30,35.0
13,Slovenia,2020-10-30,98.0
14,China,2020-10-30,0.0
15,Malaysia,2020-10-30,49.0
16,Bolivia,2020-10-30,98.0
17,Romania,2020-10-30,581.0
18,Cyprus,2020-10-30,0.0
19,Singapore,2020-10-30,0.0
20,Latvia,2020-10-30,21.0
21,Jamaica,2020-10-30,28.0
22,Guyana,2020-10-30,0.0
23,Cameroon,2020-10-30,0.0
24,Switzerland,2020-10-30,196.0
25,Gambia,2020-10-30,0.0
26,Bahrain,2020-10-30,7.0
27,Norway,2020-10-30,0.0
28,Cabo Verde,2020-10-30,0.0
29,Taiwan*,2020-10-30,0.0
30,West Bank and Gaza,2020-10-30,42.0
31,Mexico,2020-10-30,3248.0
32,San Marino,2020-10-30,0.0
33,Bangladesh,2020-10-30,140.0
34,Cambodia,2020-10-30,0.0
35,Bulgaria,2020-10-30,196.0
36,Albania,2020-10-30,28.0
37,Sweden,2020-10-30,16.750749738850573
38,Ukraine,2020-10-30,889.0
39,Poland,2020-10-30,1253.0
40,Ecuador,2020-10-30,98.0
41,Costa Rica,2020-10-30,119.0
42,Chad,2020-10-30,0.0
43,Azerbaijan,2020-10-30,63.0
44,Grenada,2020-10-30,0.0
45,Burma,2020-10-30,189.0
46,Kosovo,2020-10-30,14.0
47,Saint Kitts and Nevis,2020-10-30,0.0
48,Panama,2020-10-30,70.0
49,Kazakhstan,2020-10-30,0.0
50,India,2020-10-30,3619.0
51,Dominica,2020-10-30,0.0
52,Trinidad and Tobago,2020-10-30,0.0
53,Nigeria,2020-10-30,14.0
54,Belize,2020-10-30,7.0
55,Somalia,2020-10-30,0.0
56,Solomon Islands,2020-10-30,0.0
57,Guinea,2020-10-30,0.0
58,Turkey,2020-10-30,525.0
59,Laos,2020-10-30,0.0
60,Malta,2020-10-30,14.0
61,Ghana,2020-10-30,0.0
62,Saint Lucia,2020-10-30,0.0
63,Honduras,2020-10-30,63.0
64,Chile,2020-10-30,336.0
65,Cote d'Ivoire,2020-10-30,0.0
66,Czechia,2020-10-30,1148.0
67,Tunisia,2020-10-30,245.0
68,Mali,2020-10-30,0.0
69,Zambia,2020-10-30,0.0
70,Benin,2020-10-30,0.0
71,Japan,2020-10-30,35.0
72,Comoros,2020-10-30,0.0
73,Italy,2020-10-30,1393.0
74,Mauritania,2020-10-30,0.0
75,El Salvador,2020-10-30,28.0
76,Lesotho,2020-10-30,0.0
77,Sudan,2020-10-30,0.0
78,Lebanon,2020-10-30,77.0
79,US,2020-10-30,6797.0
80,Israel,2020-10-30,175.0
81,Georgia,2020-10-30,98.0
82,Dominican Republic,2020-10-30,14.0
83,Maldives,2020-10-30,0.0
84,Mauritius,2020-10-30,0.0
85,Uzbekistan,2020-10-30,21.0
86,Finland,2020-10-30,0.0
87,Lithuania,2020-10-30,35.0
88,Djibouti,2020-10-30,0.0
89,"Korea, South",2020-10-30,7.0
90,United Kingdom,2020-10-30,1918.0
91,Central African Republic,2020-10-30,0.0
92,Syria,2020-10-30,21.0
93,Guinea-Bissau,2020-10-30,0.0
94,Nepal,2020-10-30,98.0
95,Australia,2020-10-30,0.0
96,Iran,2020-10-30,2422.0
97,Mongolia,2020-10-30,0.0
98,France,2020-10-30,1687.0
99,Sri Lanka,2020-10-30,0.0
100,Saint Vincent and the Grenadines,2020-10-30,0.0
101,Barbados,2020-10-30,0.0
102,Moldova,2020-10-30,112.0
103,Belarus,2020-10-30,28.0
104,United Arab Emirates,2020-10-30,14.0
105,Malawi,2020-10-30,0.0
106,New Zealand,2020-10-30,0.0
107,Andorra,2020-10-30,0.0
108,Gabon,2020-10-30,0.0
109,Holy See,2020-10-30,0.0
110,Papua New Guinea,2020-10-30,0.0
111,Ethiopia,2020-10-30,49.0
112,Angola,2020-10-30,14.0
113,Sao Tome and Principe,2020-10-30,0.0
114,Niger,2020-10-30,0.0
115,Vietnam,2020-10-30,0.0
116,Kenya,2020-10-30,98.0
117,Iceland,2020-10-30,0.0
118,Congo (Kinshasa),2020-10-30,0.0
119,Burundi,2020-10-30,0.0
120,Senegal,2020-10-30,0.0
121,Bahamas,2020-10-30,14.0
122,Austria,2020-10-30,98.0
123,Brazil,2020-10-30,3556.0
124,Pakistan,2020-10-30,77.0
125,Kuwait,2020-10-30,28.0
126,Timor-Leste,2020-10-30,0.0
127,Netherlands,2020-10-30,392.0
128,Liechtenstein,2020-10-30,0.0
129,Slovakia,2020-10-30,77.0
130,Qatar,2020-10-30,0.0
131,Iraq,2020-10-30,336.0
132,Uganda,2020-10-30,14.0
133,Bosnia and Herzegovina,2020-10-30,147.0
134,Paraguay,2020-10-30,98.0
135,Germany,2020-10-30,210.0
136,South Africa,2020-10-30,371.0
137,Egypt,2020-10-30,84.0
138,Estonia,2020-10-30,0.0
139,Peru,2020-10-30,343.0
140,Russia,2020-10-30,2219.0
141,Bhutan,2020-10-30,0.0
142,Tajikistan,2020-10-30,0.0
143,Luxembourg,2020-10-30,0.0
144,Canada,2020-10-30,217.0
145,Venezuela,2020-10-30,28.0
146,Haiti,2020-10-30,0.0
147,Belgium,2020-10-30,924.0
148,Antigua and Barbuda,2020-10-30,0.0
149,Argentina,2020-10-30,2450.0
150,Spain,2020-10-30,1211.0
151,Seychelles,2020-10-30,0.0
152,Armenia,2020-10-30,161.0
153,Sierra Leone,2020-10-30,0.0
154,Indonesia,2020-10-30,700.0
155,Togo,2020-10-30,0.0
156,Morocco,2020-10-30,427.0
157,Thailand,2020-10-30,0.0
158,Denmark,2020-10-30,21.0
159,Algeria,2020-10-30,56.0
160,Libya,2020-10-30,77.0
161,Hungary,2020-10-30,329.0
162,Eritrea,2020-10-30,0.0
